validée,2016-12-16 20:30,Saint-Malo,L'Omnibus,Eb@Hs[XFhl
validée,2016-12-16 21:30,Saint-Malo,L'Omnibus,]rNbz>f`^@
validée,2016-12-16 22:30,Saint-Malo,L'Omnibus,~g7tH5Rq~{
validée,2016-12-16 23:30,Saint-Malo,L'Omnibus,O8P2{cI0Em
validée,2016-12-16 19:30,Saint-Malo,L'Omnibus,dePx84zTBV
validée,2016-12-16 19:30,La Roche-sur-Yon,Le Fuzz'Yon,cv6yQ>SI|`
validée,2016-12-16 19:30,Rennes,Village,_x^|Y0@9lG
validée,2016-12-16 19:30,Rennes,FNAC,w@3mJR6g@
validée,2016-12-16 19:30,Rennes,Le Pub Gallery,^rRux@Ri~
validée,2016-12-16 19:30,Janzé,Ecole intercomunale de musique du pays de la Roche-aux-fées,[oBmFC=k@0
attente,2016-12-16 19:30,Saint-Lô,Le Normandy,Aq@6@8>UJo
attente,2016-12-16 19:30,Bruz,Parc des Expositions - Hall 8,X71Kkyhm7Y
attente,2016-12-16 19:30,Morlaix,Coatélan,3>gmnEn1s~
attente,2016-12-16 19:30,Rennes,Liberté Haut,jIjiPnT[Ia
attente,2016-12-16 19:30,Saint-Aubin-du-Cormier ,Espace Bel-Air,@SnQ>Sx;tZ
refusée,2016-12-16 19:30,Moscou,Arena 09,Wd0th^G_||
refusée,2016-01-17 19:30,Bruz,Parc des Expositions - L'Atelier,M{9_eF=Ytn
refusée,2016-01-17 19:30,Bruz,Parc des Expositions - Green Room,}~Y>EF<5Hc
refusée,2016-01-17 19:30,Saint-Jacques-de-la-Lande,Aire Libre,}75qb?6LGT
